instrument_id,type,masked_identifier,issuing_bank
P02171,card,****4119,ICICI
P02172,upi,upi_177946,KOTAK
P02173,upi,upi_422015,SBI
P02174,wallet,upi_151573,ICICI
P02175,wallet,upi_438713,HDFC
P02176,card,****7481,SBI
P02177,wallet,upi_145090,HDFC
P02178,upi,upi_388769,SBI
P02179,card,****4874,AXIS
P02180,card,****5098,HDFC
P02181,upi,upi_593248,KOTAK
P02182,card,****3322,AXIS
P02183,wallet,upi_929357,AXIS
P02184,wallet,upi_638329,ICICI
P02185,card,****2231,HDFC
P02186,card,****2511,AXIS
P02187,wallet,upi_662292,ICICI
P02188,card,****4168,SBI
P02189,wallet,upi_540263,ICICI
P02190,wallet,upi_672653,SBI
P02191,wallet,upi_970053,AXIS
P02192,wallet,upi_820140,KOTAK
P02193,upi,upi_345224,AXIS
P02194,card,****9836,ICICI
P02195,card,****9442,ICICI
P02196,wallet,upi_814637,SBI
P02197,upi,upi_130573,SBI
P02198,card,****8366,HDFC
P02199,upi,upi_923769,KOTAK
P02200,wallet,upi_854117,AXIS
P02201,upi,upi_813813,HDFC
P02202,upi,upi_601556,HDFC
P02203,upi,upi_620580,ICICI
P02204,upi,upi_643453,ICICI
P02205,card,****6981,HDFC
P02206,upi,upi_666881,ICICI
P02207,card,****3800,ICICI
P02208,card,****6722,SBI
P02209,wallet,upi_266951,HDFC
P02210,upi,upi_811717,SBI
P02211,card,****6489,KOTAK
P02212,upi,upi_209996,SBI
P02213,upi,upi_697092,ICICI
P02214,wallet,upi_176401,KOTAK
P02215,wallet,upi_907498,ICICI
P02216,card,****3273,SBI
P02217,wallet,upi_517260,AXIS
P02218,wallet,upi_141350,KOTAK
P02219,wallet,upi_660211,SBI
P02220,card,****8044,KOTAK
P02221,wallet,upi_668178,SBI
P02222,wallet,upi_116951,ICICI
P02223,card,****1619,SBI
P02224,card,****4765,KOTAK
P02225,upi,upi_854124,KOTAK
P02226,wallet,upi_824992,SBI
P02227,wallet,upi_406045,ICICI
P02228,upi,upi_735015,SBI
P02229,wallet,upi_739348,KOTAK
P02230,wallet,upi_760095,HDFC
P02231,wallet,upi_188095,SBI
P02232,upi,upi_573813,KOTAK
P02233,wallet,upi_580127,HDFC
P02234,wallet,upi_786642,AXIS
P02235,card,****6848,ICICI
P02236,card,****9912,AXIS
P02237,upi,upi_509464,AXIS
P02238,card,****9835,ICICI
P02239,card,****8405,SBI
P02240,upi,upi_918149,HDFC
P02241,wallet,upi_166564,AXIS
P02242,upi,upi_740084,KOTAK
P02243,upi,upi_503150,KOTAK
P02244,card,****8151,KOTAK
P02245,upi,upi_853443,ICICI
P02246,card,****6244,KOTAK
P02247,wallet,upi_305681,AXIS
P02248,wallet,upi_140034,KOTAK
P02249,upi,upi_814670,KOTAK
P02250,card,****7530,ICICI
P02251,wallet,upi_755569,ICICI
P02252,upi,upi_154391,SBI
P02253,card,****6904,AXIS
P02254,upi,upi_863036,KOTAK
P02255,upi,upi_818916,AXIS
P02256,wallet,upi_140177,HDFC
P02257,wallet,upi_230889,ICICI
P02258,upi,upi_668087,ICICI
P02259,wallet,upi_459275,SBI
P02260,upi,upi_363408,ICICI
P02261,wallet,upi_512272,AXIS
P02262,wallet,upi_513209,ICICI
P02263,card,****6783,KOTAK
P02264,upi,upi_294708,ICICI
P02265,wallet,upi_239563,KOTAK
P02266,wallet,upi_704035,SBI
P02267,upi,upi_970641,ICICI
P02268,card,****9948,KOTAK
P02269,card,****6573,AXIS
P02270,card,****5271,HDFC
P02271,wallet,upi_813586,SBI
P02272,card,****9733,SBI
P02273,wallet,upi_606779,ICICI
P02274,upi,upi_507976,ICICI
P02275,wallet,upi_280205,AXIS
P02276,wallet,upi_332419,ICICI
P02277,upi,upi_655473,KOTAK
P02278,wallet,upi_488027,HDFC
P02279,card,****9265,HDFC
P02280,wallet,upi_845134,AXIS
P02281,upi,upi_483573,HDFC
P02282,wallet,upi_613416,KOTAK
P02283,upi,upi_505042,KOTAK
P02284,upi,upi_116391,KOTAK
P02285,upi,upi_892710,AXIS
P02286,wallet,upi_401260,SBI
P02287,card,****1124,ICICI
P02288,upi,upi_758639,KOTAK
P02289,card,****9393,KOTAK
P02290,card,****2854,AXIS
P02291,wallet,upi_607771,ICICI
P02292,card,****4262,KOTAK
P02293,wallet,upi_449820,KOTAK
P02294,card,****5409,HDFC
P02295,card,****6967,ICICI
P02296,upi,upi_422521,HDFC
P02297,upi,upi_407914,AXIS
P02298,card,****6353,SBI
P02299,card,****2756,ICICI
P02300,wallet,upi_281938,SBI
P02301,wallet,upi_324885,AXIS
P02302,upi,upi_863197,KOTAK
P02303,card,****4901,AXIS
P02304,upi,upi_992924,SBI
P02305,card,****1263,KOTAK
P02306,upi,upi_987729,ICICI
P02307,wallet,upi_774561,HDFC
P02308,upi,upi_907151,HDFC
P02309,card,****6797,ICICI
P02310,upi,upi_501533,KOTAK
P02311,wallet,upi_227940,KOTAK
P02312,wallet,upi_595858,KOTAK
P02313,card,****3156,AXIS
P02314,card,****5451,SBI
P02315,card,****4850,KOTAK
P02316,wallet,upi_684900,SBI
P02317,upi,upi_270697,ICICI
P02318,upi,upi_684483,AXIS
P02319,upi,upi_161204,SBI
P02320,wallet,upi_631040,AXIS
P02321,upi,upi_665093,AXIS
P02322,upi,upi_413157,ICICI
P02323,card,****9072,SBI
P02324,wallet,upi_453669,SBI
P02325,wallet,upi_762880,SBI
P02326,wallet,upi_716899,AXIS
P02327,upi,upi_935298,SBI
P02328,wallet,upi_982456,KOTAK
P02329,upi,upi_286410,KOTAK
P02330,card,****5989,KOTAK
P02331,card,****2359,AXIS
P02332,upi,upi_126629,ICICI
P02333,card,****1645,HDFC
P02334,card,****6027,SBI
P02335,wallet,upi_340725,KOTAK
P02336,wallet,upi_343363,HDFC
P02337,card,****3148,HDFC
P02338,upi,upi_432793,HDFC
P02339,card,****1091,SBI
P02340,upi,upi_603871,HDFC
P02341,wallet,upi_314005,AXIS
P02342,wallet,upi_874011,ICICI
P02343,wallet,upi_205244,SBI
P02344,upi,upi_398176,KOTAK
P02345,wallet,upi_746875,AXIS
P02346,upi,upi_714920,KOTAK
P02347,wallet,upi_614462,ICICI
P02348,upi,upi_991648,ICICI
P02349,upi,upi_570815,AXIS
P02350,wallet,upi_406884,AXIS
P02351,card,****1104,ICICI
P02352,upi,upi_987056,KOTAK
P02353,wallet,upi_837866,ICICI
P02354,upi,upi_401898,ICICI
P02355,card,****9615,ICICI
P02356,card,****9902,HDFC
P02357,wallet,upi_240221,ICICI
P02358,card,****3069,ICICI
P02359,wallet,upi_250169,HDFC
P02360,wallet,upi_419678,KOTAK
P02361,card,****1966,AXIS
P02362,wallet,upi_108509,HDFC
P02363,wallet,upi_356637,AXIS
P02364,upi,upi_613317,ICICI
P02365,card,****8588,SBI
P02366,card,****9724,ICICI
P02367,upi,upi_523651,KOTAK
P02368,wallet,upi_191322,AXIS
P02369,card,****3960,SBI
P02370,upi,upi_586813,SBI
P02371,upi,upi_883104,SBI
P02372,wallet,upi_758227,SBI
P02373,upi,upi_242256,AXIS
P02374,card,****1535,SBI
P02375,card,****2478,KOTAK
P02376,wallet,upi_877939,AXIS
P02377,upi,upi_789625,KOTAK
P02378,card,****2675,AXIS
P02379,card,****3976,AXIS
P02380,card,****8680,ICICI
P02381,card,****8490,ICICI
P02382,card,****8256,ICICI
P02383,wallet,upi_787232,KOTAK
P02384,card,****1479,SBI
P02385,card,****3826,ICICI
P02386,wallet,upi_694411,KOTAK
P02387,card,****7749,ICICI
P02388,card,****7997,SBI
P02389,wallet,upi_995344,KOTAK
P02390,card,****5967,ICICI
P02391,wallet,upi_677407,ICICI
P02392,card,****3728,SBI
P02393,wallet,upi_481359,ICICI
P02394,wallet,upi_997265,KOTAK
P02395,card,****6246,KOTAK
P02396,upi,upi_379737,AXIS
P02397,card,****9013,AXIS
P02398,wallet,upi_879784,AXIS
P02399,card,****3647,AXIS
P02400,upi,upi_359140,HDFC
P02401,wallet,upi_448781,SBI
P02402,upi,upi_705666,AXIS
P02403,wallet,upi_850246,HDFC
P02404,card,****8320,KOTAK
P02405,wallet,upi_560110,HDFC
P02406,card,****3856,AXIS
P02407,card,****3655,HDFC
P02408,upi,upi_358462,KOTAK
P02409,upi,upi_896651,KOTAK
P02410,upi,upi_853679,HDFC
P02411,card,****9033,SBI
P02412,card,****9502,ICICI
P02413,card,****3445,HDFC
P02414,wallet,upi_889314,HDFC
P02415,card,****6968,AXIS
P02416,wallet,upi_928989,HDFC
P02417,wallet,upi_297594,ICICI
P02418,card,****1728,SBI
P02419,wallet,upi_612696,KOTAK
P02420,wallet,upi_588219,KOTAK
P02421,wallet,upi_630490,KOTAK
P02422,upi,upi_466281,ICICI
P02423,wallet,upi_875926,SBI
P02424,wallet,upi_639318,SBI
P02425,card,****4879,KOTAK
P02426,upi,upi_163838,HDFC
P02427,card,****1284,SBI
P02428,upi,upi_347765,AXIS
P02429,wallet,upi_185993,KOTAK
P02430,wallet,upi_436314,HDFC
P02431,upi,upi_169634,SBI
P02432,card,****4441,KOTAK
P02433,card,****1374,ICICI
P02434,wallet,upi_705225,ICICI
P02435,wallet,upi_715387,SBI
P02436,wallet,upi_125197,HDFC
P02437,upi,upi_308498,AXIS
P02438,upi,upi_785511,KOTAK
P02439,card,****1928,KOTAK
P02440,card,****1080,KOTAK
P02441,upi,upi_592932,HDFC
P02442,card,****9189,HDFC
P02443,wallet,upi_220764,ICICI
P02444,upi,upi_150768,ICICI
P02445,wallet,upi_259160,HDFC
P02446,card,****3578,HDFC
P02447,wallet,upi_834424,AXIS
P02448,upi,upi_589216,ICICI
P02449,card,****2886,KOTAK
P02450,wallet,upi_806150,HDFC
P02451,card,****2846,AXIS
P02452,upi,upi_209581,ICICI
P02453,card,****1685,HDFC
P02454,wallet,upi_856726,HDFC
P02455,upi,upi_242592,SBI
P02456,wallet,upi_878651,KOTAK
P02457,upi,upi_360753,ICICI
P02458,wallet,upi_883048,ICICI
P02459,card,****5810,KOTAK
P02460,card,****8068,AXIS
P02461,upi,upi_318525,KOTAK
P02462,card,****3930,AXIS
P02463,wallet,upi_797453,SBI
P02464,wallet,upi_208663,ICICI
P02465,upi,upi_284693,HDFC
P02466,card,****5660,HDFC
P02467,wallet,upi_816221,AXIS
P02468,wallet,upi_650309,ICICI
P02469,upi,upi_109166,KOTAK
P02470,wallet,upi_442506,ICICI
P02471,card,****5697,AXIS
P02472,card,****1280,KOTAK
P02473,card,****7008,SBI
P02474,wallet,upi_498978,HDFC
P02475,wallet,upi_871734,HDFC
P02476,card,****6656,ICICI
P02477,wallet,upi_711800,AXIS
P02478,card,****2592,ICICI
P02479,upi,upi_224413,ICICI
P02480,upi,upi_300022,AXIS
P02481,upi,upi_676396,SBI
P02482,wallet,upi_484502,AXIS
P02483,upi,upi_899614,ICICI
P02484,card,****1443,SBI
P02485,card,****3558,HDFC
P02486,card,****8894,HDFC
P02487,upi,upi_229093,SBI
P02488,wallet,upi_269820,AXIS
P02489,card,****9107,SBI
P02490,card,****3725,KOTAK
P02491,wallet,upi_164506,AXIS
P02492,wallet,upi_856597,HDFC
P02493,upi,upi_546901,KOTAK
P02494,card,****7755,ICICI
P02495,card,****3072,SBI
P02496,wallet,upi_781673,HDFC
P02497,upi,upi_434952,SBI
P02498,card,****1124,ICICI
P02499,wallet,upi_844836,SBI
P02500,card,****5091,HDFC
P02501,card,****1276,KOTAK
P02502,upi,upi_525239,AXIS
P02503,wallet,upi_905738,AXIS
P02504,upi,upi_543745,SBI
P02505,wallet,upi_168034,SBI
P02506,upi,upi_718788,SBI
P02507,upi,upi_398889,AXIS
P02508,card,****5032,SBI
P02509,upi,upi_982459,HDFC
P02510,card,****5114,AXIS
P02511,upi,upi_102864,HDFC
P02512,card,****1973,HDFC
P02513,wallet,upi_228594,HDFC
P02514,card,****1436,AXIS
P02515,wallet,upi_341016,HDFC
P02516,upi,upi_518002,SBI
P02517,card,****9011,ICICI
P02518,upi,upi_641358,HDFC
P02519,wallet,upi_113766,KOTAK
P02520,card,****7000,AXIS
P02521,card,****3426,KOTAK
P02522,card,****2772,SBI
P02523,wallet,upi_163755,AXIS
P02524,card,****4202,KOTAK
P02525,card,****7694,AXIS
P02526,card,****5038,HDFC
P02527,upi,upi_847237,ICICI
P02528,upi,upi_183579,HDFC
P02529,upi,upi_478662,KOTAK
P02530,upi,upi_615934,SBI
P02531,card,****7563,ICICI
P02532,card,****4220,HDFC
P02533,card,****8128,ICICI
P02534,upi,upi_657519,KOTAK
P02535,wallet,upi_472594,AXIS
P02536,upi,upi_837576,AXIS
P02537,wallet,upi_366087,AXIS
P02538,card,****4351,HDFC
P02539,wallet,upi_105732,SBI
P02540,card,****4282,KOTAK
P02541,upi,upi_264190,AXIS
P02542,upi,upi_979053,AXIS
P02543,upi,upi_558027,ICICI
P02544,card,****6787,KOTAK
P02545,card,****9595,ICICI
P02546,card,****8782,HDFC
P02547,card,****1943,SBI
P02548,upi,upi_534953,AXIS
P02549,card,****6088,SBI
P02550,wallet,upi_717940,HDFC
P02551,card,****2908,HDFC
P02552,upi,upi_717101,AXIS
P02553,wallet,upi_590061,HDFC
P02554,upi,upi_139165,HDFC
P02555,wallet,upi_786925,SBI
P02556,wallet,upi_347413,KOTAK
P02557,wallet,upi_171245,KOTAK
P02558,wallet,upi_999594,SBI
P02559,wallet,upi_103173,SBI
P02560,card,****2077,SBI
P02561,card,****1692,SBI
P02562,wallet,upi_738424,KOTAK
P02563,card,****5876,KOTAK
P02564,upi,upi_514187,KOTAK
P02565,wallet,upi_616763,ICICI
P02566,wallet,upi_168281,ICICI
P02567,upi,upi_718992,AXIS
P02568,wallet,upi_226120,AXIS
P02569,upi,upi_732277,KOTAK
P02570,wallet,upi_406830,HDFC
P02571,upi,upi_500560,HDFC
P02572,card,****4543,AXIS
P02573,upi,upi_151489,AXIS
P02574,upi,upi_698755,SBI
P02575,card,****4822,ICICI
P02576,upi,upi_558116,ICICI
P02577,card,****9444,KOTAK
P02578,wallet,upi_403149,KOTAK
P02579,wallet,upi_219473,KOTAK
P02580,upi,upi_946214,HDFC
P02581,card,****5327,ICICI
P02582,upi,upi_989319,ICICI
P02583,card,****4511,AXIS
P02584,card,****9447,AXIS
P02585,wallet,upi_985261,ICICI
P02586,card,****2458,AXIS
P02587,card,****3594,HDFC
P02588,wallet,upi_942268,SBI
P02589,card,****9941,HDFC
P02590,card,****7051,KOTAK
P02591,wallet,upi_637872,KOTAK
P02592,wallet,upi_917930,KOTAK
P02593,upi,upi_253727,HDFC
P02594,card,****8281,HDFC
P02595,wallet,upi_976903,KOTAK
P02596,wallet,upi_756367,KOTAK
P02597,upi,upi_793618,KOTAK
P02598,card,****2156,KOTAK
P02599,upi,upi_372667,SBI
P02600,wallet,upi_244955,ICICI
P02601,card,****8393,SBI
P02602,wallet,upi_638071,ICICI
P02603,wallet,upi_561744,KOTAK
P02604,upi,upi_558927,HDFC
P02605,wallet,upi_280958,HDFC
P02606,card,****5251,KOTAK
P02607,card,****7861,AXIS
P02608,upi,upi_596265,HDFC
P02609,card,****4095,AXIS
P02610,wallet,upi_189263,SBI
P02611,wallet,upi_522816,HDFC
P02612,wallet,upi_800431,HDFC
P02613,card,****9370,AXIS
P02614,wallet,upi_956835,KOTAK
P02615,upi,upi_929909,ICICI
P02616,wallet,upi_802978,AXIS
P02617,wallet,upi_629202,ICICI
P02618,upi,upi_861481,AXIS
P02619,wallet,upi_802835,AXIS
P02620,wallet,upi_766253,HDFC
P02621,upi,upi_145230,KOTAK
P02622,upi,upi_340477,HDFC
P02623,upi,upi_928868,HDFC
P02624,wallet,upi_544095,HDFC
P02625,upi,upi_547898,HDFC
P02626,upi,upi_678654,ICICI
P02627,card,****8987,SBI
P02628,wallet,upi_947752,KOTAK
P02629,wallet,upi_335018,SBI
P02630,wallet,upi_495718,SBI
P02631,card,****8540,KOTAK
P02632,wallet,upi_802575,AXIS
P02633,card,****5798,HDFC
P02634,wallet,upi_542113,SBI
P02635,wallet,upi_494594,AXIS
P02636,wallet,upi_360733,SBI
P02637,wallet,upi_550162,HDFC
P02638,upi,upi_575067,KOTAK
P02639,upi,upi_259057,HDFC
P02640,upi,upi_112179,ICICI
P02641,wallet,upi_454437,HDFC
P02642,upi,upi_249253,ICICI
P02643,upi,upi_708171,ICICI
P02644,wallet,upi_526383,SBI
P02645,wallet,upi_673268,ICICI
P02646,card,****9233,KOTAK
P02647,card,****5356,KOTAK
P02648,upi,upi_658580,KOTAK
P02649,card,****1673,AXIS
P02650,card,****5235,AXIS
P02651,upi,upi_258690,KOTAK
P02652,upi,upi_731182,KOTAK
P02653,card,****7961,HDFC
P02654,wallet,upi_973485,HDFC
P02655,card,****5913,HDFC
P02656,card,****2850,KOTAK
P02657,wallet,upi_360345,SBI
P02658,wallet,upi_892189,KOTAK
P02659,wallet,upi_954446,ICICI
P02660,card,****7674,HDFC
P02661,card,****4495,AXIS
P02662,wallet,upi_527433,HDFC
P02663,upi,upi_295643,ICICI
P02664,card,****5169,SBI
P02665,wallet,upi_635868,HDFC
P02666,upi,upi_448599,HDFC
P02667,card,****6903,SBI
P02668,upi,upi_619665,ICICI
P02669,upi,upi_230620,KOTAK
P02670,card,****8027,SBI
P02671,wallet,upi_133099,ICICI
P02672,wallet,upi_403198,SBI
P02673,card,****7822,AXIS
P02674,card,****8701,AXIS
P02675,wallet,upi_168507,KOTAK
P02676,card,****5238,KOTAK
P02677,wallet,upi_701080,KOTAK
P02678,wallet,upi_143862,KOTAK
P02679,wallet,upi_864921,HDFC
P02680,upi,upi_584153,KOTAK
P02681,card,****2587,SBI
P02682,card,****8255,SBI
P02683,upi,upi_642084,HDFC
P02684,card,****6348,KOTAK
P02685,card,****7463,AXIS
P02686,upi,upi_672433,AXIS
P02687,wallet,upi_795381,KOTAK
P02688,wallet,upi_943858,ICICI
P02689,wallet,upi_710029,AXIS
P02690,wallet,upi_748591,KOTAK
P02691,upi,upi_426752,KOTAK
P02692,upi,upi_694774,SBI
P02693,wallet,upi_194682,SBI
P02694,upi,upi_716931,SBI
P02695,upi,upi_942613,HDFC
P02696,card,****3033,KOTAK
P02697,card,****3958,HDFC
P02698,wallet,upi_918986,AXIS
P02699,upi,upi_358365,AXIS
P02700,wallet,upi_146649,SBI
P02701,card,****2153,AXIS
P02702,card,****7921,HDFC
P02703,card,****9811,KOTAK
P02704,upi,upi_317203,AXIS
P02705,upi,upi_360626,AXIS
P02706,wallet,upi_779077,ICICI
P02707,card,****9432,KOTAK
P02708,upi,upi_443569,SBI
P02709,wallet,upi_158522,AXIS
P02710,upi,upi_108051,HDFC
P02711,card,****5933,ICICI
P02712,upi,upi_656115,KOTAK
P02713,upi,upi_287619,HDFC
P02714,upi,upi_494616,AXIS
P02715,wallet,upi_387280,KOTAK
P02716,wallet,upi_556034,AXIS
P02717,upi,upi_530398,HDFC
P02718,upi,upi_927513,AXIS
P02719,upi,upi_269690,HDFC
P02720,upi,upi_430036,AXIS
P02721,upi,upi_613832,AXIS
P02722,upi,upi_663628,HDFC
P02723,wallet,upi_572510,SBI
P02724,upi,upi_331454,ICICI
P02725,wallet,upi_944381,KOTAK
P02726,card,****7965,ICICI
P02727,card,****7054,SBI
P02728,upi,upi_499780,ICICI
P02729,wallet,upi_293279,AXIS
P02730,upi,upi_834630,SBI
P02731,card,****2776,AXIS
P02732,wallet,upi_450226,KOTAK
P02733,wallet,upi_463880,ICICI
P02734,card,****1150,AXIS
P02735,card,****4059,HDFC
P02736,card,****3492,SBI
P02737,card,****8404,AXIS
P02738,upi,upi_827658,AXIS
P02739,upi,upi_520726,ICICI
P02740,upi,upi_743063,HDFC
P02741,upi,upi_129096,HDFC
P02742,card,****3897,SBI
P02743,wallet,upi_204768,HDFC
P02744,upi,upi_993163,KOTAK
P02745,upi,upi_659319,KOTAK
P02746,wallet,upi_507104,HDFC
P02747,card,****9795,HDFC
P02748,card,****8775,KOTAK
P02749,wallet,upi_515320,AXIS
P02750,wallet,upi_618556,KOTAK
P02751,card,****4209,HDFC
P02752,card,****6871,AXIS
P02753,card,****5476,AXIS
P02754,card,****7693,SBI
P02755,card,****7963,HDFC
P02756,card,****2817,ICICI
P02757,card,****4340,KOTAK
P02758,upi,upi_339922,AXIS
P02759,upi,upi_339050,AXIS
P02760,upi,upi_830264,KOTAK
P02761,wallet,upi_504613,KOTAK
P02762,card,****8556,KOTAK
P02763,upi,upi_958784,ICICI
P02764,upi,upi_377586,KOTAK
P02765,card,****6075,ICICI
P02766,card,****4810,KOTAK
P02767,upi,upi_365518,SBI
P02768,upi,upi_149439,HDFC
P02769,wallet,upi_550087,SBI
P02770,upi,upi_784532,SBI
P02771,upi,upi_783888,AXIS
P02772,upi,upi_875702,ICICI
P02773,card,****2256,HDFC
P02774,card,****4171,ICICI
P02775,wallet,upi_569184,SBI
P02776,wallet,upi_744640,AXIS
P02777,wallet,upi_750945,HDFC
P02778,upi,upi_559683,AXIS
P02779,card,****4979,SBI
P02780,wallet,upi_772677,ICICI
P02781,upi,upi_277965,HDFC
P02782,card,****9829,AXIS
P02783,wallet,upi_277960,HDFC
P02784,upi,upi_470808,HDFC
P02785,wallet,upi_669273,HDFC
P02786,card,****7341,ICICI
P02787,card,****5176,SBI
P02788,wallet,upi_766204,ICICI
P02789,card,****7334,KOTAK
P02790,card,****6324,KOTAK
P02791,wallet,upi_970049,ICICI
P02792,upi,upi_754446,ICICI
P02793,upi,upi_988951,ICICI
P02794,upi,upi_112389,HDFC
P02795,wallet,upi_926109,HDFC
P02796,wallet,upi_172481,AXIS
P02797,upi,upi_597203,KOTAK
P02798,upi,upi_639165,HDFC
P02799,upi,upi_462115,ICICI
P02800,upi,upi_366445,SBI
P02801,wallet,upi_476925,SBI
P02802,upi,upi_548263,HDFC
P02803,wallet,upi_320479,KOTAK
P02804,upi,upi_821875,HDFC
P02805,upi,upi_732047,KOTAK
P02806,card,****8378,KOTAK
P02807,card,****1255,SBI
P02808,card,****3020,ICICI
P02809,wallet,upi_578667,KOTAK
P02810,wallet,upi_793182,SBI
P02811,wallet,upi_871061,AXIS
P02812,wallet,upi_695484,KOTAK
P02813,upi,upi_714807,KOTAK
P02814,wallet,upi_914126,ICICI
P02815,wallet,upi_727940,HDFC
P02816,upi,upi_429779,AXIS
P02817,wallet,upi_837230,ICICI
P02818,upi,upi_209737,SBI
P02819,upi,upi_814105,ICICI
P02820,upi,upi_495147,ICICI
P02821,card,****2467,KOTAK
P02822,wallet,upi_884019,AXIS
P02823,wallet,upi_364905,ICICI
P02824,upi,upi_238622,ICICI
P02825,wallet,upi_780208,ICICI
P02826,wallet,upi_571366,ICICI
P02827,wallet,upi_346903,ICICI
P02828,wallet,upi_930837,HDFC
P02829,card,****2846,KOTAK
P02830,upi,upi_131544,AXIS
P02831,card,****4442,ICICI
P02832,wallet,upi_639685,HDFC
P02833,wallet,upi_706154,KOTAK
P02834,card,****3748,ICICI
P02835,card,****1733,HDFC
P02836,card,****4032,ICICI
P02837,card,****1034,HDFC
P02838,card,****9552,AXIS
P02839,upi,upi_555051,AXIS
P02840,card,****1742,HDFC
P02841,wallet,upi_982140,KOTAK
P02842,wallet,upi_685219,AXIS
P02843,wallet,upi_504995,HDFC
P02844,card,****9974,HDFC
P02845,upi,upi_298548,SBI
P02846,upi,upi_935567,HDFC
P02847,upi,upi_164709,ICICI
P02848,wallet,upi_403419,SBI
P02849,wallet,upi_355819,HDFC
P02850,wallet,upi_635124,HDFC
P02851,upi,upi_389788,AXIS
P02852,wallet,upi_772676,ICICI
P02853,card,****6158,SBI
P02854,upi,upi_717298,SBI
P02855,wallet,upi_928485,HDFC
P02856,card,****1059,ICICI
P02857,wallet,upi_910648,HDFC
P02858,upi,upi_975876,AXIS
P02859,card,****1057,SBI
P02860,upi,upi_445426,KOTAK
P02861,upi,upi_558788,HDFC
P02862,upi,upi_120494,HDFC
P02863,upi,upi_553876,AXIS
P02864,upi,upi_381723,HDFC
P02865,card,****1213,AXIS
P02866,upi,upi_413619,HDFC
P02867,wallet,upi_194682,ICICI
P02868,upi,upi_101662,AXIS
P02869,wallet,upi_439666,HDFC
P02870,upi,upi_743949,KOTAK
P02871,upi,upi_909947,KOTAK
P02872,upi,upi_143995,KOTAK
P02873,wallet,upi_115775,SBI
P02874,wallet,upi_897136,ICICI
P02875,upi,upi_540077,KOTAK
P02876,card,****5820,KOTAK
P02877,card,****7191,KOTAK
P02878,wallet,upi_695033,KOTAK
P02879,wallet,upi_524942,ICICI
P02880,upi,upi_736415,AXIS
P02881,card,****9650,ICICI
P02882,wallet,upi_554504,KOTAK
P02883,wallet,upi_645300,KOTAK
P02884,card,****8741,KOTAK
P02885,wallet,upi_792492,AXIS
P02886,wallet,upi_176176,SBI
P02887,card,****7078,KOTAK
P02888,upi,upi_289383,SBI
P02889,upi,upi_984885,HDFC
P02890,wallet,upi_576547,AXIS
P02891,card,****4878,ICICI
P02892,card,****2425,ICICI
P02893,upi,upi_835620,SBI
P02894,upi,upi_990524,KOTAK
P02895,wallet,upi_686225,ICICI
P02896,upi,upi_115406,SBI
P02897,card,****1095,KOTAK
P02898,upi,upi_245961,HDFC
P02899,upi,upi_478752,SBI
P02900,wallet,upi_429624,HDFC
P02901,upi,upi_610297,AXIS
P02902,upi,upi_840364,HDFC
P02903,wallet,upi_884285,ICICI
P02904,upi,upi_411215,AXIS
P02905,wallet,upi_293858,HDFC
P02906,card,****9877,KOTAK
P02907,card,****5592,HDFC
P02908,wallet,upi_847393,KOTAK
P02909,upi,upi_244463,AXIS
P02910,upi,upi_285625,ICICI
P02911,card,****8823,SBI
P02912,wallet,upi_716179,HDFC
P02913,upi,upi_155988,SBI
P02914,wallet,upi_866940,SBI
P02915,upi,upi_238297,HDFC
P02916,wallet,upi_463448,SBI
P02917,upi,upi_609719,HDFC
P02918,upi,upi_556253,KOTAK
P02919,card,****1047,KOTAK
P02920,card,****3069,SBI
P02921,upi,upi_970847,HDFC
P02922,wallet,upi_702430,HDFC
P02923,wallet,upi_152199,HDFC
P02924,wallet,upi_518694,ICICI
P02925,wallet,upi_458792,AXIS
P02926,upi,upi_155407,AXIS
P02927,card,****4461,ICICI
P02928,upi,upi_988792,AXIS
P02929,card,****9242,ICICI
P02930,wallet,upi_740707,SBI
P02931,wallet,upi_925803,SBI
P02932,card,****1957,HDFC
P02933,upi,upi_645438,KOTAK
P02934,card,****3636,SBI
P02935,wallet,upi_574610,ICICI
P02936,card,****3232,AXIS
P02937,card,****7381,KOTAK
P02938,upi,upi_106550,AXIS
P02939,card,****1965,SBI
P02940,wallet,upi_772640,HDFC
P02941,card,****2903,KOTAK
P02942,upi,upi_101075,KOTAK
P02943,card,****8599,HDFC
P02944,wallet,upi_190359,SBI
P02945,card,****8002,HDFC
P02946,wallet,upi_145738,SBI
P02947,card,****8218,HDFC
P02948,wallet,upi_242778,ICICI
P02949,card,****1537,AXIS
P02950,card,****8048,KOTAK
P02951,upi,upi_813540,HDFC
P02952,card,****8927,SBI
P02953,wallet,upi_970294,HDFC
P02954,wallet,upi_701885,SBI
P02955,wallet,upi_845932,SBI
P02956,wallet,upi_407270,ICICI
P02957,wallet,upi_247691,KOTAK
P02958,wallet,upi_591074,AXIS
P02959,wallet,upi_682308,KOTAK
P02960,card,****7752,SBI
P02961,card,****5212,SBI
P02962,upi,upi_903199,HDFC
P02963,upi,upi_976958,HDFC
P02964,wallet,upi_931553,KOTAK
P02965,card,****8768,ICICI
P02966,upi,upi_950328,KOTAK
P02967,card,****4493,HDFC
P02968,card,****5224,SBI
P02969,card,****3518,SBI
P02970,wallet,upi_796241,KOTAK
P02971,upi,upi_332552,ICICI
P02972,card,****8672,SBI
P02973,card,****6897,AXIS
